Foaming,PH,TS,VS,TVFA,TALK,CONDUCTIVITY,TKN,INORGN,TN,SULFATE,NH3N,TANNIC,TCOD,SCOD,OP,TP,FE,NI,CU,SCOD.TCOD,OP.TP,TCOD.TN.TP,TVFA.TALK,TAN.TKN,TCOD.SULFATE,FS.TS,VS.TS,FE(II).S,Fe(II).TP,TCOD.TKN
No,5.5,123.6645115,107.838542,17.22,5.17948,8.23546869,1.360666667,1.473333333,0.110933333,4.011,1.554,1.554,235.66,105.1178,3.2,4.219,0.251913,0.012618,0.010902,0.446057031,0.758473572,503.5171705,3.324658074,1.142087212,58.75342807,0.127975029,0.872024971,0.108032942,0.101542909,173.1945125
No,NA,124.3807089,108.6873361,15.001,2.364,NA,1.095,1.221,0.126,4.773,1.7505,1.7505,214.303,NA,3.2,5.65842,0.253913,0.012418,0.011402,NA,0.565528893,300.5816925,6.345600677,1.598630137,44.89901529,0.12617208,0.87382792,0.091506467,0.07631296,195.7105023
No,NA,127.188165,111.3733095,14.012,1.889,NA,1.514,1.619,0.105,6.422,1.8216,1.8216,258.716,NA,3,5.41732,0.105913,0.007658,0.002492,NA,0.55377936,454.8304152,7.417681313,1.20317041,40.28589225,0.124342194,0.875657806,0.028368558,0.033248597,170.8824306
No,8.1,71.13470327,51.11755192,7.213,10.39148,9.284775512,1.99,0.0811,2.071,2.846,2.2712,0.8986,50.254,57.1058,1.2,3.4274,0.037013,0.006878,0.007022,1.136343376,0.350119624,7.079877513,0.694126342,1.141306533,17.65776528,0.281397833,0.718602167,0.022370602,0.018365301,25.25326633
No,NA,72.31929999,52.61848,5.061,9.056,NA,2.027,0.112,2.139,3.069,2.5521,2.583,47.423,NA,0.259896042,5.05062,0.037013,0.007028,0.007492,NA,0.051458245,4.389686907,0.558856007,1.259052787,15.45226458,0.272414418,0.727585582,0.020745107,0.012462872,23.39565861
No,NA,NA,NA,3.458,12.023,NA,2.061,0.118,2.179,5.741,2.5276,2.6265,69.0528,NA,2.8,5.31092,0.051813,0.007948,0.007392,NA,0.527215624,5.966976171,0.287615404,1.226394954,12.02800906,NA,NA,0.015524209,0.01659119,33.50451237
No,9,55.23908664,37.68711024,6.94,11.875,9.3907661,3.839333333,0.169866667,4.004,1.196,2.0233,1.9305,73.1868,62.6748,4,3.24,0.054811,0.004626,0.004612,0.856367542,1.234567901,5.641488141,0.584421053,0.526992533,61.19297659,0.317745594,0.682254406,0.0788306,0.02876943,19.06237194
No,8.2,54.94122523,37.40298395,4.981,9.46,9.113153284,2.024,0.00202,2.026,1.48,2.0136,2.0354,134.948,29.312,2,3.8258,0.054911,0.005006,0.004732,0.217209592,0.52276648,17.41023963,0.52653277,0.99486166,91.18108108,0.319218241,0.680781759,0.063819871,0.024408755,66.67391304
No,NA,54.85074627,37.32300038,5.574,9.449,NA,2.039,0.00186,2.041,3.341,2.0142,2.0285,NA,28.864,2,4.8152,NA,NA,NA,NA,0.415351387,NA,0.589903694,0.987837175,NA,0.319553462,0.680446538,NA,NA,NA
Yes,6.67,103.5096127,85.38081044,9.592,6.009,9.818313988,1.166,NA,1.171,7.381,1.6759,2.1352,152.367,31.853,1.7,4.4159,NA,0.003597,NA,0.209054454,0.384972486,29.46556625,1.596272258,1.437307033,20.64313779,0.175141243,0.824858757,NA,NA,130.6749571
Yes,NA,102.5937997,84.68230668,9.327,5.854,NA,1.536,0.0545,1.591,6.816,1.6011,2.3751,165.502,43.754,2.4,5.5139,0.008368,NA,0.004544,0.264371428,0.435263607,18.86575461,1.593269559,1.042382813,24.28139671,0.174586506,0.825413494,0.002111788,0.002580901,107.7486979
Yes,NA,102.3303671,83.8176542,9.909,NA,NA,1.591,NA,1.592,7.154,1.6345,2.3458,158.004,44.655,2.4,5.2818,0.008338,0.004165,0.004547,0.282619427,0.454390549,18.79070463,NA,1.027341295,22.08610568,0.180911233,0.819088767,0.002004801,0.002684655,99.31112508
Yes,7.44,74.98778869,46.85016889,5.31,6.596,10.24406128,1.621,0.0568,1.677,6.32,2.929,3.2414,93.959,12.115,1.1,12.544,NA,0.002977,0.003957,0.128939218,0.087691327,4.466519949,0.805033354,1.806909315,14.86693038,0.375229358,0.624770642,NA,NA,57.96360271
Yes,7.35,75.84882672,47.33997023,8.201,NA,NA,NA,NA,NA,5.504,2.713,2.6125,96.821,NA,NA,NA,0.048046,0.00322,0.004119,NA,NA,NA,NA,NA,17.59102471,0.375864172,0.624135828,0.015015407,NA,NA
Yes,7.61,79.5219946,51.3022074,9.032,NA,NA,NA,NA,NA,5.668,2.6977,2.5145,99.575,NA,NA,NA,0.047846,NA,0.004039,NA,NA,NA,NA,NA,17.56792519,0.354867698,0.645132302,0.01452025,NA,NA
Yes,6.75,614.7512425,591.3651263,21.526,3.454,6.344826197,0.793,0.0659,0.859,6.593,1.1688,2.7107,536.37,165.424,2.2,5.3027,0.04466,0.008074,NA,0.308413968,0.414882984,117.7536174,6.232194557,1.473896595,81.35446686,0.038041592,0.961958408,0.011651824,0.014322875,676.3808323
Yes,NA,706.7312679,683.994903,19.193,3.931,NA,0.754,0.0413,0.796,6.136,1.2643,2.0943,NA,NA,1.6,4.3992,0.035368,0.008335,0.005904,NA,0.363702491,NA,4.882472653,1.676790451,NA,0.03217116,0.96782884,0.009914788,0.013672418,NA
Yes,NA,746.8408294,726.8284506,19.604,4.127,NA,0.76,,0.768,6.09,1.2747,2.0382,NA,NA,1.6,4.7634,0.035468,0.007045,0.009414,NA,0.335894529,NA,4.75018173,1.677236842,NA,0.026796043,0.973203957,0.010017923,0.012662755,NA
Yes,7.67,67.36043191,47.07953523,12.234,8.937,8.796318282,2.255,0.0232,2.278,7.283,2.521,4.3331,143.647,18.751,1.4,6.7133,0.04046,0.008804,NA,0.13053527,0.208541254,9.393053275,1.368915744,1.117960089,19.72360291,0.301080265,0.698919735,0.00955595,0.010249398,63.70155211
Yes,NA,74.87265638,53.37258317,NA,7.372,NA,NA,0.398,1.56,6.919,2.2645,3.411,167.441,20.313,1.4,NA,0.049746,0.00304,0.002009,0.121314373,NA,NA,NA,NA,24.20017344,0.287155208,0.712844792,0.012367249,NA,NA
Yes,NA,65.15932137,44.89219965,NA,8.991,NA,NA,,1.683,7.392,2.2457,3.4718,150.2,20.426,1.2,NA,0.049746,NA,0.001989,0.135992011,NA,NA,NA,NA,20.31926407,0.311039484,0.688960516,0.011575893,NA,NA
Yes,7.02,136.5100662,111.6258918,17.837,5.223,9.089719239,1.646,0.164,1.81,8.045,1.6884,2.8906,252.262,68.647,2.8,6.04382,0.031613,0.007508,0.003852,0.272125806,0.463283155,23.06012931,3.415087115,1.025759417,31.35637042,0.182288201,0.817711799,0.006759241,0.008895344,153.2575942
Yes,NA,134.9126709,109.8258841,19.188,NA,NA,1.798,NA,1.926,6.495,1.6274,2.2749,223.799,69.994,NA,6.13202,0.040139,0.007334,0.004678,0.312753855,NA,18.9495236,NA,0.905116796,34.45712086,0.185948337,0.814051663,0.010630304,0.011131957,124.471079
Yes,NA,136.4920732,109.7745983,20.284,NA,NA,1.889,NA,1.918,6.307,1.5572,2.2839,255.593,NA,NA,5.66862,0.039839,0.007244,0.004388,NA,NA,23.50839655,NA,0.824351509,40.52528936,0.195743784,0.804256216,0.010865354,0.011951974,135.305982
Yes,7.21,91.11240842,67.1276692,6.326,11.089,8.681860252,2.023,0.0178,2.041,7.014,2.486,5.173,135.586,18.832,1.2,5.19302,0.025813,NA,NA,0.138893396,0.23107941,12.79239464,0.570475246,1.228868018,19.33076704,0.26324339,0.73675661,0.006330398,0.008453315,67.02224419
Yes,NA,92.38298156,70.71875624,5.931,NA,NA,1.977,0.0996,2.076,5.547,2.899,5.4473,NA,18.995,1.6,6.87122,0.020939,0.003474,0.002758,NA,0.232855301,NA,NA,1.466363177,NA,0.234504505,0.765495495,0.006493159,0.005182396,NA
Yes,NA,89.14544156,65.07804264,5.891,NA,NA,1.974,0.103,2.077,NA,2.826,5.2863,NA,NA,1.4,NA,0.021639,0.003154,0.002608,NA,NA,NA,NA,1.431610942,NA,0.26997902,0.73002098,NA,NA,NA
Yes,6.82,85.18871965,60.04613731,7.284,11.943,8.178638276,2.774,0.123,2.897,9.648,2.6697,4.1833,96.243,18.623,2,5.43802,0.041813,NA,NA,0.193499787,0.36778092,6.109136884,0.609897011,0.962400865,9.975435323,0.295139808,0.704860192,0.007454737,0.013076125,34.69466474
Yes,NA,108.4174176,82.53841689,9.229,9.995,NA,2.566,NA,2.595,7.81,2.8083,4.382,79.755,18.338,2,NA,0.037239,0.002584,0.003278,0.229929158,NA,NA,0.923361681,1.094427124,10.21190781,0.238697815,0.761302185,0.008201726,NA,31.08144973
Yes,NA,93.90555143,69.90424819,8.05,11.196,NA,2.559,NA,2.559,7.109,2.3749,4.3126,68.561,NA,2,NA,0.037239,0.002514,0.002168,NA,NA,NA,0.719006788,0.928057835,9.644253763,0.255589823,0.744410177,0.009010477,NA,26.79210629
Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2064,3.0133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yes,6.92,83.25670733,58.4605325,6.325,10.271,8.528477825,2.091,0.102,2.193,10.596,3.057,5.1012,99.184,18.336,1.4,7.58902,0.025913,0.003948,0.005842,0.184868527,0.184477047,5.959602449,0.615811508,1.461979914,9.360513401,0.297827954,0.702172046,0.004206627,0.005806849,47.43376375
Yes,6.95,81.81762022,57.05435387,5.549,8.834,8.557699273,2.142,NA,2.218,5.554,3.024,5.2847,NA,17.36,1.4,7.52092,0.029839,0.003124,0.005018,NA,0.186147439,NA,0.628141272,1.411764706,NA,0.302664222,0.697335778,0.009241377,0.006747173,NA
Yes,7.07,84.4511154,59.36355911,6.798,7.459,8.499649818,2.141,NA,2.218,4.955,2.9737,5.2964,NA,NA,1.6,NA,0.029839,0.002854,0.005048,NA,NA,NA,0.911382223,1.388930406,NA,0.297066015,0.702933985,0.010358548,NA,NA
No,6.99,156.3350219,59.31280325,14.265,1.07,7.992329023,2.643,0.061,2.704,10.607,1.9739,3.0337,175.96,87.725,3.6,8.17292,0.137913,0.011518,0.005192,0.498550807,0.440479045,7.962143823,13.3317757,0.746840711,16.58904497,0.620604503,0.379395497,0.022365104,0.028697,66.57586076
No,NA,157.6151077,46.53285396,12.995,1.364,NA,2.43,0.0623,2.705,10.464,1.7265,2.831,195.386,56.706,3.6,7.92022,0.137913,0.011718,0.005012,0.290225502,0.454532829,9.119875873,9.5271261,0.710493827,18.67220948,0.704769076,0.295230924,0.022670743,0.029612598,80.40576132
No,NA,156.1914615,47.48581806,14.396,1.347,NA,NA,NA,NA,12.214,2.0344,3.5046,258.151,NA,3.2,8.11722,NA,NA,NA,NA,0.394223638,NA,10.6874536,NA,21.13566399,0.695976863,0.304023137,NA,NA,NA
No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9477,3.4565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1063,3.1817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No,7.67,75.18071096,59.31280325,4.883,7.515,8.088574938,2.222,0.058,2.28,8.322,3.0182,2.939,80.785,15.336,1.6,4.79652,0.033813,0.010018,0.009612,0.189837222,0.333575175,7.387025915,0.649767132,1.358325833,9.707402067,0.21106355,0.78893645,0.006988988,0.011988532,36.35688569
No,NA,62.28719731,46.53285396,5.859,7.839,NA,2.215,0.0659,2.281,8.446,2.6745,2.8707,54.465,15.225,1.6,4.67322,0.032313,0.009068,0.010002,0.279537318,0.342376349,5.109471676,0.747416762,1.20744921,6.448614729,0.252930683,0.747069317,0.006580888,0.011758979,24.58916479
No,NA,63.67671498,47.48581806,4.645,9.084,NA,2.199,0.0627,3.115,NA,3.0246,3.3028,63.101,NA,1.6,4.92442,NA,NA,NA,NA,0.32491136,4.113609899,0.511338617,1.375443383,NA,0.254267151,0.745732849,NA,NA,28.69531605
No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No,7.77,75.18395401,56.56014787,4.181,9.168,8.193153853,2.755,0.0648,2.82,9.309,2.859,3.0022,71.749,7.995,1.6,4.85062,0.032413,0.008958,0.010302,0.111430124,0.32985474,5.24528984,0.456042757,1.037749546,7.707487378,0.247709852,0.752290148,0.005989278,0.011363982,26.04319419
