glmnet 

32 samples
 6 predictor
 2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (5 fold, repeated 100 times) 
Summary of sample sizes: 26, 25, 26, 25, 26, 26, ... 
Resampling results across tuning parameters:

  alpha  lambda        Accuracy   Kappa    
  0.1    0.0001279146  0.9356190  0.8700864
  0.1    0.0002954993  0.9359524  0.8707531
  0.1    0.0006826416  0.9344762  0.8677988
  0.1    0.0015769907  0.9329524  0.8648782
  0.1    0.0036430532  0.9336667  0.8662142
  0.1    0.0084159257  0.9317619  0.8623666
  0.1    0.0194418803  0.9301429  0.8590912
  0.1    0.0449132663  0.9242857  0.8468936
  0.1    0.1037554730  0.9077619  0.8128945
  0.1    0.2396886056  0.8454286  0.6833185
  0.2    0.0001279146  0.9382381  0.8753618
  0.2    0.0002954993  0.9360000  0.8708111
  0.2    0.0006826416  0.9340952  0.8670741
  0.2    0.0015769907  0.9323810  0.8636542
  0.2    0.0036430532  0.9326667  0.8642142
  0.2    0.0084159257  0.9317619  0.8623666
  0.2    0.0194418803  0.9301429  0.8590912
  0.2    0.0449132663  0.9245238  0.8472972
  0.2    0.1037554730  0.9029524  0.8030157
  0.2    0.2396886056  0.8177619  0.6253431
  0.3    0.0001279146  0.9385714  0.8760285
  0.3    0.0002954993  0.9350000  0.8688111
  0.3    0.0006826416  0.9340952  0.8670741
  0.3    0.0015769907  0.9323810  0.8636542
  0.3    0.0036430532  0.9326667  0.8642142
  0.3    0.0084159257  0.9320952  0.8630332
  0.3    0.0194418803  0.9307619  0.8602748
  0.3    0.0449132663  0.9248095  0.8479059
  0.3    0.1037554730  0.8940000  0.7846608
  0.3    0.2396886056  0.7801905  0.5454279
  0.4    0.0001279146  0.9389048  0.8766951
  0.4    0.0002954993  0.9355714  0.8700285
  0.4    0.0006826416  0.9337619  0.8664075
  0.4    0.0015769907  0.9317143  0.8623209
  0.4    0.0036430532  0.9317143  0.8623209
  0.4    0.0084159257  0.9310952  0.8610332
  0.4    0.0194418803  0.9300952  0.8590886
  0.4    0.0449132663  0.9254286  0.8492177
  0.4    0.1037554730  0.8841429  0.7640477
  0.4    0.2396886056  0.7264762  0.4335567
  0.5    0.0001279146  0.9385714  0.8760285
  0.5    0.0002954993  0.9347143  0.8682941
  0.5    0.0006826416  0.9322857  0.8634342
  0.5    0.0015769907  0.9304286  0.8597122
  0.5    0.0036430532  0.9307619  0.8604706
  0.5    0.0084159257  0.9298095  0.8583692
  0.5    0.0194418803  0.9294762  0.8577025
  0.5    0.0449132663  0.9241429  0.8466090
  0.5    0.1037554730  0.8693333  0.7327083
  0.5    0.2396886056  0.6852381  0.3439704
  0.6    0.0001279146  0.9388571  0.8765885
  0.6    0.0002954993  0.9347143  0.8682941
  0.6    0.0006826416  0.9319524  0.8627122
  0.6    0.0015769907  0.9300000  0.8588255
  0.6    0.0036430532  0.9295238  0.8578645
  0.6    0.0084159257  0.9280000  0.8545391
  0.6    0.0194418803  0.9284762  0.8557025
  0.6    0.0449132663  0.9225714  0.8435341
  0.6    0.1037554730  0.8527619  0.6982332
  0.6    0.2396886056  0.6677619  0.3061205
  0.7    0.0001279146  0.9379048  0.8746464
  0.7    0.0002954993  0.9354762  0.8697799
  0.7    0.0006826416  0.9306667  0.8601035
  0.7    0.0015769907  0.9300000  0.8588255
  0.7    0.0036430532  0.9276667  0.8538724
  0.7    0.0084159257  0.9270000  0.8525391
  0.7    0.0194418803  0.9263333  0.8513042
  0.7    0.0449132663  0.9197143  0.8378868
  0.7    0.1037554730  0.8342381  0.6597308
  0.7    0.2396886056  0.6602381  0.2897540
  0.8    0.0001279146  0.9363810  0.8717070
  0.8    0.0002954993  0.9335714  0.8659322
  0.8    0.0006826416  0.9302381  0.8592656
  0.8    0.0015769907  0.9284762  0.8555919
  0.8    0.0036430532  0.9270476  0.8525417
  0.8    0.0084159257  0.9263810  0.8512084
  0.8    0.0194418803  0.9248571  0.8482468
  0.8    0.0449132663  0.9142857  0.8269771
  0.8    0.1037554730  0.7950952  0.5776872
  0.8    0.2396886056  0.6566667  0.2813371
  0.9    0.0001279146  0.9335238  0.8658256
  0.9    0.0002954993  0.9304762  0.8594812
  0.9    0.0006826416  0.9279048  0.8542638
  0.9    0.0015769907  0.9256667  0.8497684
  0.9    0.0036430532  0.9263810  0.8511597
  0.9    0.0084159257  0.9241905  0.8466537
  0.9    0.0194418803  0.9224762  0.8435862
  0.9    0.0449132663  0.9057619  0.8095757
  0.9    0.1037554730  0.7688571  0.5223440
  0.9    0.2396886056  0.6442381  0.2551021
  1.0    0.0001279146  0.9155714  0.8295296
  1.0    0.0002954993  0.9169524  0.8322818
  1.0    0.0006826416  0.9147143  0.8275312
  1.0    0.0015769907  0.9134762  0.8249912
  1.0    0.0036430532  0.9144762  0.8270820
  1.0    0.0084159257  0.9147619  0.8277419
  1.0    0.0194418803  0.9136190  0.8258026
  1.0    0.0449132663  0.8914286  0.7802512
  1.0    0.1037554730  0.7491905  0.4808607
  1.0    0.2396886056  0.6243333  0.2116390

Accuracy was used to select the optimal model using the largest value.
The final values used for the model were alpha = 0.4 and lambda = 0.0001279146.
